id, orig-N, orig-M, orig-time, basic-N, basic-M, basic-time, known-N, known-M, known-time, all_dom-N, all_dom-M, all_dom-time, fast_dom-N, fast_dom-M, fast_dom-time, dom12-N, dom12-M, dom12-time, dom3-N, dom3-M, dom3-time, dom4-N, dom4-M, dom4-time, dom5-N, dom5-M, dom5-time, dom_nca-N, dom_nca-M, dom_nca-time, dom_nca_full-N, dom_nca_full-M, dom_nca_full-time, dom_mixed-N, dom_mixed-M, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-M, dom_mixed_full-time
h_185, 32768, 3222505, 0.00, 32768, 3222505, 0.14, 32768, 3222505, 3.29, 32768, 3222505, 49.62, 32768, 3222505, 54.97, 32768, 3222505, 60.32, 32768, 3222505, 65.56, 32768, 3222505, 72.05, 32768, 3222505, 78.32, 32768, 3222505, 82.39, 32768, 3222505, 88.86, 32768, 3222505, 95.03, 32768, 3222505, 101.10
h_186, 566326, 2770690, 0.00, 549251, 2745294, 1.58, 96919, 354849, 3.96, 96919, 354849, 25.85, 96919, 354849, 29.07, 96919, 354849, 33.01, 96919, 354849, 36.51, 96919, 354849, 40.53, 96919, 354849, 44.02, 96919, 354849, 47.36, 96919, 354849, 51.23, 96919, 354849, 55.10, 96919, 354849, 59.44
h_187, 131072, 3225441, 0.00, 131072, 3225441, 0.25, 516, 9108, 1.61, 9, 18, 4.05, 9, 18, 6.21, 516, 9108, 7.75, 9, 18, 9.76, 9, 18, 12.38, 9, 18, 14.81, 9, 18, 17.36, 9, 18, 19.39, 9, 18, 21.71, 9, 18, 23.66
h_188, 262140, 3100200, 0.00, 163662, 1189436, 9.97, 163662, 1189436, 17.75, 163662, 1189436, 28.67, 163644, 1189340, 37.49, 163656, 1189416, 46.38, 163656, 1189416, 55.04, 163662, 1189436, 63.25, 163662, 1189436, 72.97, 163662, 1189436, 83.02, 163662, 1189436, 92.74, 163662, 1189436, 102.11, 163662, 1189436, 111.05
h_189, 262141, 3100310, 0.00, 163839, 1191914, 10.44, 163832, 1191870, 19.11, 163839, 1191914, 29.46, 163817, 1191838, 37.38, 163839, 1191914, 46.36, 163839, 1191914, 55.42, 163839, 1191914, 64.01, 163839, 1191914, 73.37, 163839, 1191914, 82.65, 163832, 1191870, 91.74, 163839, 1191914, 101.21, 163839, 1191914, 111.02
h_190, 131072, 3244452, 0.00, 131072, 3244452, 0.17, 3657, 86742, 5.02, 8, 16, 13.12, 8, 16, 20.53, 3657, 86742, 25.80, 8, 16, 33.59, 8, 16, 40.65, 8, 16, 47.37, 8, 16, 54.34, 8, 16, 61.51, 8, 16, 70.00, 8, 16, 78.44
h_191, 131072, 3275806, 0.00, 131072, 3275806, 0.20, 4513, 111314, 5.02, 4, 8, 13.11, 4, 8, 20.74, 4513, 111314, 26.58, 4, 8, 35.44, 4, 8, 43.67, 4, 8, 52.22, 4, 8, 60.78, 4, 8, 69.15, 4, 8, 77.16, 4, 8, 84.64
h_192, 32768, 3726392, 0.00, 32550, 3693014, 1.82, 32550, 3693014, 4.33, 32550, 3693014, 12.64, 32550, 3693014, 16.26, 32550, 3693014, 19.71, 32550, 3693014, 23.01, 32550, 3693014, 25.94, 32550, 3693014, 28.40, 32550, 3693014, 31.52, 32550, 3693014, 34.02, 32550, 3693014, 36.51, 32550, 3693014, 39.02
h_193, 32768, 3734348, 0.00, 32563, 3702362, 1.58, 32563, 3702362, 3.72, 32563, 3702362, 12.61, 32563, 3702362, 15.14, 32563, 3702362, 17.59, 32563, 3702362, 20.00, 32563, 3702362, 22.71, 32563, 3702362, 25.66, 32563, 3702362, 28.21, 32563, 3702362, 32.28, 32563, 3702362, 35.53, 32563, 3702362, 38.69
h_194, 4096, 4194304, 0.00, 4096, 4194304, 0.29, 4096, 4194304, 13.37, 4096, 4194304, 184.40, 4096, 4194304, 208.63, 4096, 4194304, 232.05, 4096, 4194304, 254.30, 4096, 4194304, 280.45, 4096, 4194304, 306.53, 4096, 4194304, 320.61, 4096, 4194304, 344.61, 4096, 4194304, 373.58, 4096, 4194304, 396.06
h_195, 4096, 4194304, 0.00, 4096, 4194304, 0.31, 4096, 4194304, 14.06, 4096, 4194304, 192.45, 4096, 4194304, 216.11, 4096, 4194304, 239.29, 4096, 4194304, 264.79, 4096, 4194304, 288.96, 4096, 4194304, 315.25, 4096, 4194304, 329.28, 4096, 4194304, 354.63, 4096, 4194304, 378.44, 4096, 4194304, 401.73
h_196, 8192, 4194304, 0.00, 8192, 4194304, 0.24, 8192, 4194304, 11.94, 8192, 4194304, 62.72, 8192, 4194304, 78.95, 8192, 4194304, 96.50, 8192, 4194304, 113.09, 8192, 4194304, 128.45, 8192, 4194304, 145.08, 8192, 4194304, 156.01, 8192, 4194304, 172.54, 8192, 4194304, 187.43, 8192, 4194304, 203.02
h_197, 8192, 4194304, 0.00, 8192, 4194304, 0.23, 8192, 4194304, 10.69, 8192, 4194304, 61.41, 8192, 4194304, 76.64, 8192, 4194304, 94.83, 8192, 4194304, 109.97, 8192, 4194304, 125.39, 8192, 4194304, 140.71, 8192, 4194304, 151.13, 8192, 4194304, 166.74, 8192, 4194304, 182.29, 8192, 4194304, 198.22
h_198, 962897, 4419758, 0.00, 887706, 4300594, 2.97, 232674, 851805, 8.95, 232674, 851805, 80.61, 232674, 851805, 88.51, 232674, 851805, 97.07, 232674, 851805, 105.78, 232674, 851805, 113.86, 232674, 851805, 122.84, 232674, 851805, 129.47, 232674, 851805, 137.82, 232674, 851805, 146.33, 232674, 851805, 155.21
h_199, 875713, 5105039, 0.00, 196078, 1756279, 3.32, 4161, 25256, 7.11, 3055, 13224, 13.16, 3125, 13650, 18.23, 3992, 23766, 24.20, 3076, 13382, 29.05, 3125, 13650, 34.03, 3076, 13382, 38.70, 3076, 13384, 43.79, 3076, 13382, 49.71, 3077, 13392, 55.30, 3076, 13382, 61.19
h_200, 2394385, 5021410, 0.00, 122, 261, 20.36, 12, 24, 20.54, 12, 24, 20.54, 12, 24, 20.54, 12, 24, 20.54, 12, 24, 20.54, 12, 24, 20.54, 12, 24, 20.54, 12, 24, 20.54, 12, 24, 20.54, 12, 24, 20.54, 12, 24, 20.54
